Timestamp,Chain Name,Duration (ms),Input Tokens,Output Tokens,Success,Is From Test,Test Match,Test Expected,Test Actual
2025-07-01T23:09:33.677Z,extractYears,2557,1602,6,true,true,false,5,{"requestYears":null}
2025-07-01T23:09:36.235Z,extractLevel_explicit,1110,1602,5,true,false,,,{"level":"Senior"}
2025-07-01T23:09:37.345Z,extractDomain,1318,1602,18,true,true,false,"Embedded",{"domain":"Software Engineering (Instrument Control, Embedded Systems)"}
2025-07-01T23:09:38.663Z,extractSkills,5317,1602,149,true,true,false,["C++","Linux","Python","Rust"],{"skills":["Background in biology and DNA sequencing (interest in the field is preferred)","C","Digital & Analog Design","EE knowledge (Laboratory test equipment)","Embedded/Firmware Development","Familiarity with modeling and control of robotic systems","Formal approach to design & architecture of complex systems","Linux","Machine vision (OpenCV, Scikit-Image)","Matplotlib","Modern C++","Numpy","Pandas","Python3","ROS","Rapid software prototyping & validation","State estimation algorithms","Strong analytical and problem-solving skills","Strong verbal and written communication skills"]}
2025-07-01T23:09:43.982Z,extractYears,979,1351,5,true,true,false,4,{"requestYears":4}
2025-07-01T23:09:44.961Z,extractLevel_explicit,995,1351,5,true,false,,,{"level":"Senior"}
2025-07-01T23:09:45.956Z,extractDomain,1060,1351,9,true,true,false,"Full Stack",{"domain":"software_engineering"}
2025-07-01T23:09:47.016Z,extractSkills,2408,1351,37,true,true,false,["D3","GoLang","SVG","Typescript","react"],{"skills":["Agile environment","Cybersecurity best practices","D3","Event-driven architecture","Golang","React","React Native","SVG","Typescript"]}
2025-07-01T23:09:49.425Z,extractYears,972,1314,5,true,true,false,8,{"requestYears":5}
2025-07-01T23:09:50.397Z,extractLevel_explicit,998,1314,5,true,false,,,{"level":"Senior"}
2025-07-01T23:09:51.395Z,extractDomain,1035,1314,7,true,true,false,"QA",{"domain":"Medical Devices"}
2025-07-01T23:09:52.431Z,extractSkills,2899,1314,61,true,true,false,["AI","Cybersecurity"],{"skills":["AI","Agile methodologies","Cloud computing","Cybersecurity","Design Control requirements","FDA QSR","ISO guidelines and 21 CFR Part 11","Oral and written communication skills","Software Quality Assurance","Testing medical devices"]}
2025-07-01T23:09:55.331Z,extractYears,693,685,5,true,true,false,5,{"requestYears":5}
2025-07-01T23:09:56.024Z,extractLevel_explicit,670,685,5,true,false,,,{"level":"Senior"}
2025-07-01T23:09:56.694Z,extractDomain,754,685,9,true,true,false,"\"QA\"",{"domain":"Software Development"}
2025-07-01T23:09:57.448Z,extractSkills,2875,685,65,true,true,false,["CI/CD","Cypress","JavaScript","Selenium"],{"skills":["Automated Testing","Automated Testing Frameworks","CI/CD Pipelines","Communication","Cypress","JavaScript","Manual Testing","Playwright","Product Management","Quality Assurance","Selenium","Software Development","Teamwork","Test Automation Tools"]}
2025-07-01T23:10:00.324Z,extractYears,487,299,6,true,true,false,,{"requestYears":null}
2025-07-01T23:10:00.811Z,extractLevel_explicit,488,299,5,true,false,,,{"level":"Director"}
2025-07-01T23:10:01.299Z,extractDomain,565,299,9,true,true,false,"\"Hardware\"",{"domain":"Artificial_Intelligence"}
2025-07-01T23:10:01.865Z,extractSkills,1485,299,37,true,true,false,[],{"skills":["Delivered a working software stack for an ML accelerator","Expertise in ML compilers and ML kernel development","Managed teams of 20+"]}